time,open,high,low,close,MA,MA
2016-06-25T00:00:00Z,14.42,14.836,13.913,14.33,NaN,NaN
2016-06-26T00:00:00Z,14.33,14.4,13.525,13.754,NaN,NaN
2016-06-27T00:00:00Z,13.744,14.188,13.682,14.031,NaN,NaN
2016-06-28T00:00:00Z,14.043,14.079,11.513,12.114,NaN,NaN
2016-06-29T00:00:00Z,12.12,13.045,11.57,12.62,NaN,NaN
2016-06-30T00:00:00Z,12.6,12.884,12.2,12.41,NaN,NaN
2016-07-01T00:00:00Z,12.479,12.58,11.74,12.194,NaN,NaN
2016-07-02T00:00:00Z,12.19,12.213,11.95,12.136,NaN,NaN
2016-07-03T00:00:00Z,12.125,12.147,11.56,11.763,NaN,NaN
2016-07-04T00:00:00Z,11.753,11.85,11.351,11.471,NaN,NaN
2016-07-05T00:00:00Z,11.47,11.485,9.353,10.588,NaN,NaN
2016-07-06T00:00:00Z,10.58,11.12,10.221,10.578,NaN,NaN
2016-07-07T00:00:00Z,10.578,10.669,9.729,10.14,NaN,NaN
2016-07-08T00:00:00Z,10.127,11.649,9.902,11.38,NaN,NaN
2016-07-09T00:00:00Z,11.37,11.436,10.395,10.902,NaN,NaN
2016-07-10T00:00:00Z,10.842,11.02,10.736,10.96,NaN,NaN
2016-07-11T00:00:00Z,10.95,11.087,10.201,10.501,NaN,NaN
2016-07-12T00:00:00Z,10.501,10.802,10.399,10.528,NaN,NaN
2016-07-13T00:00:00Z,10.526,10.6,10.425,10.43,NaN,NaN
2016-07-14T00:00:00Z,10.514,11.79,10.491,11.517,NaN,11.71735
2016-07-15T00:00:00Z,11.466,12.553,11.369,11.96,NaN,11.740459523809523
2016-07-16T00:00:00Z,11.953,12.052,11.67,11.72,NaN,11.738510997732426
2016-07-17T00:00:00Z,11.705,11.737,11.021,11.255,NaN,11.69246233128172
2016-07-18T00:00:00Z,11.255,11.749,11.009,11.084,NaN,11.634513537826317
2016-07-19T00:00:00Z,11.083,12.24,11.041,11.658,NaN,11.63675034374762
2016-07-20T00:00:00Z,11.615,13.037,11.553,12.451,NaN,11.71429793005737
2016-07-21T00:00:00Z,12.451,12.75,12.028,12.631,NaN,11.801602889099525
2016-07-22T00:00:00Z,12.631,15.146,12.53,14.62,NaN,12.070021661566237
2016-07-23T00:00:00Z,14.601,14.85,13.9,14.26,NaN,12.278591027131357
2016-07-24T00:00:00Z,14.25,14.439,12.168,12.771,NaN,12.325487119785514
2016-07-25T00:00:00Z,12.771,13.82,12.685,13.782,NaN,12.464202632186893
2016-07-26T00:00:00Z,13.782,13.86,11.775,11.804,NaN,12.401326191026238
2016-07-27T00:00:00Z,11.808,13.4,11.808,13,NaN,12.458342744261834
2016-07-28T00:00:00Z,13,13.015,12.54,12.834,NaN,12.494119625760707
2016-07-29T00:00:00Z,12.87,12.944,12.6,12.86,NaN,12.528965375688259
2016-07-30T00:00:00Z,12.85,12.867,12.411,12.431,NaN,12.519635339908424
2016-07-31T00:00:00Z,12.465,12.552,11.303,11.876,NaN,12.458336736107622
2016-08-01T00:00:00Z,11.87,12.041,10.902,10.983,NaN,12.317828475525944
