time,open,high,low,close,EMA,MA,Histogram,MACD,Signal
2016-06-25T00:00:00Z,14.42,14.836,14.401,14.63,NaN,NaN,NaN,NaN,NaN
2016-06-25T04:00:00Z,14.63,14.684,14.25,14.38,NaN,NaN,NaN,NaN,NaN
2016-06-25T08:00:00Z,14.272,14.417,14.2,14.25,NaN,NaN,NaN,NaN,NaN
2016-06-25T12:00:00Z,14.258,14.64,14.147,14.54,NaN,NaN,NaN,NaN,NaN
2016-06-25T16:00:00Z,14.54,14.564,13.913,14.181,NaN,NaN,NaN,NaN,NaN
2016-06-25T20:00:00Z,14.15,14.391,13.97,14.33,NaN,NaN,NaN,NaN,NaN
2016-06-26T00:00:00Z,14.33,14.4,14.22,14.221,NaN,NaN,NaN,NaN,NaN
2016-06-26T04:00:00Z,14.252,14.283,14,14.085,NaN,NaN,NaN,NaN,NaN
2016-06-26T08:00:00Z,14.07,14.1,13.822,13.97,NaN,NaN,NaN,NaN,NaN
2016-06-26T12:00:00Z,13.931,14.162,13.55,13.875,NaN,NaN,NaN,NaN,NaN
2016-06-26T16:00:00Z,13.821,14,13.544,13.657,NaN,NaN,NaN,NaN,NaN
2016-06-26T20:00:00Z,13.676,13.804,13.525,13.754,NaN,NaN,NaN,NaN,NaN
2016-06-27T00:00:00Z,13.744,14.129,13.682,13.88,NaN,NaN,NaN,NaN,NaN
2016-06-27T04:00:00Z,13.88,14.05,13.83,14.05,NaN,NaN,NaN,NaN,NaN
2016-06-27T08:00:00Z,13.981,14.188,13.78,13.979,NaN,NaN,NaN,NaN,NaN
2016-06-27T12:00:00Z,13.899,14.008,13.82,13.82,NaN,NaN,NaN,NaN,NaN
2016-06-27T16:00:00Z,13.82,13.989,13.75,13.869,NaN,NaN,NaN,NaN,NaN
2016-06-27T20:00:00Z,13.886,14.043,13.771,14.031,NaN,NaN,NaN,NaN,NaN
2016-06-28T00:00:00Z,14.043,14.079,13.8,13.851,NaN,NaN,NaN,NaN,NaN
2016-06-28T04:00:00Z,13.882,13.931,13.6,13.637,NaN,NaN,NaN,NaN,NaN
2016-06-28T08:00:00Z,13.739,13.78,13.609,13.631,NaN,NaN,NaN,NaN,NaN
2016-06-28T12:00:00Z,13.632,13.687,12.02,12.866,NaN,NaN,NaN,NaN,NaN
2016-06-28T16:00:00Z,12.866,13.138,11.513,11.95,NaN,NaN,NaN,NaN,NaN
2016-06-28T20:00:00Z,11.959,12.484,11.853,12.114,NaN,NaN,NaN,NaN,NaN
2016-06-29T00:00:00Z,12.12,12.411,11.57,12,NaN,NaN,NaN,NaN,NaN
2016-06-29T04:00:00Z,11.915,12.2,11.846,12.124,NaN,NaN,NaN,-0.7642292610663297,NaN
2016-06-29T08:00:00Z,12.141,12.259,11.771,11.881,NaN,NaN,NaN,-0.7901501593199871,NaN
2016-06-29T12:00:00Z,11.896,12.475,11.808,12.44,NaN,NaN,NaN,-0.7568614025749039,NaN
2016-06-29T16:00:00Z,12.445,12.7,12.281,12.7,NaN,NaN,NaN,-0.7014145258934299,NaN
2016-06-29T20:00:00Z,12.6,13.045,12.457,12.62,NaN,NaN,NaN,-0.6563616791954843,NaN
2016-06-30T00:00:00Z,12.6,12.884,12.57,12.583,NaN,NaN,NaN,-0.6165355266065458,NaN
2016-06-30T04:00:00Z,12.694,12.751,12.561,12.604,NaN,NaN,NaN,-0.5766314409416324,NaN
2016-06-30T08:00:00Z,12.575,12.6,12.2,12.39,NaN,NaN,NaN,-0.5558674827603856,NaN
2016-06-30T12:00:00Z,12.413,12.607,12.37,12.482,NaN,NaN,0.1345161901740468,-0.5259257208490347,-0.6604419110230815
2016-06-30T16:00:00Z,12.451,12.587,12.4,12.4,NaN,NaN,0.12594158441050207,-0.5030149305099538,-0.6289565149204559
2016-06-30T20:00:00Z,12.428,12.727,12.4,12.41,NaN,NaN,0.12033737479971252,-0.4785347964208153,-0.5988721712205278
2016-07-01T00:00:00Z,12.479,12.58,12.402,12.41,NaN,NaN,0.11597628402255267,-0.45390181619233694,-0.5698781002148896
2016-07-01T04:00:00Z,12.402,12.42,12.2,12.239,NaN,NaN,0.1014458177083013,-0.44307082807951303,-0.5445166457878143
2016-07-01T08:00:00Z,12.271,12.292,12.01,12.01,NaN,NaN,0.07737045483523297,-0.4478035772437732,-0.5251740320790061
2016-07-01T12:00:00Z,12.006,12.18,11.74,11.999,NaN,NaN,0.06231051381417685,-0.44728588981128503,-0.5095964036254619
2016-07-01T16:00:00Z,12.053,12.179,11.881,12.145,NaN,NaN,0.0635680865001843,-0.43013629550023147,-0.4937043820004158
2016-07-01T20:00:00Z,12.139,12.44,12.038,12.194,NaN,NaN,0.06865203869881453,-0.4078893336268976,-0.47654137232571214
2016-07-02T00:00:00Z,12.19,12.213,11.982,12.155,NaN,NaN,0.07009535597255584,-0.38892217736001733,-0.45901753333257317
2016-07-02T04:00:00Z,12.189,12.2,11.978,12.066,NaN,NaN,0.06583048804375918,-0.3767294232778742,-0.44255991132163336
2016-07-02T08:00:00Z,12.064,12.125,11.95,11.951,NaN,NaN,0.05640211138247292,-0.3720572720935422,-0.42845938347601514
